Name,Description,Industry,Logo URL,Website,Job Titles,Job Types,Employment Types
"360 Advanced, Inc.","360 Advanced is a Cybersecurity and Compliance professional services firm that provides customized integrated solutions.  Our clients range across industries and extend from small businesses to the Fortune 500.  We work with client operations in over 40 states and on five continents globally.  We are based in downtown St. Petersburg, Florida.",Accounting,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/89680/original/hs-emp-logo-data.?1642097115,http://www.360advanced.com,"Intern IT Auditor / Security Assessor, Associate IT Auditor / Security  Assessor",Internship - Job,Full-Time - Part-Time
"Aero Simulation, Inc.",,Aerospace,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/169480/original/hs-emp-logo-data.?1498765043,https://aerosimulation.com/,None,Job,Full-Time
Air Force Civilian Service - Air Force Civilian Service,"As Georgia's largest single-site industrial complex, Robins AFB employs over 25,000 civilians, active duty and reserve military. Business Week magazine has twice named our city as the best place in Georgia to raise a family and our Museum of Aviation is the 4th Most Visited DoD Museum in the USA. Total economic impact of RAFB is ~$5.46B. /

The Air Force Civilian Service is a worldwide organization who supports and sustains the Air Force with our talent and our dedication to defend our nation and protect the values that make America great. At AFCS, we are passionate, focused, and driven by this awesome responsibility, and together with the men and women who serve, we are now and will remain a force to be reckoned with. Forces. Joined. ≡✪≡",Defense,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/41161/original/hs-emp-logo-data.?1644514723,https://afciviliancareers.com/students-and-graduates/,None,Internship - Job,Full-Time
Ajax Building Company,"Ajax Building Company is a large 3rd generation family operated commercial construction management company that has been in business since 1958. We work hand in hand with our owners to provide expert advise and experience to produce an excellent end result, working on many college campuses, K-12 schools, hospitals, etc. Our work locations are in FL, GA and SC currently. If you are interested in growing with us, please visit our website to learn more about us. www.ajaxbuilding.com.",Construction,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/83939/original/hs-emp-logo-data.?1611256227,http://www.ajaxbuilding.com,"Summer Internship, Project Engineer, Field Engineer, Assistant Project Manager",Internship - Job,Full-Time - Part-Time
"American Structurepoint, Inc.","American Structurepoint is a national architecture and engineering consulting firm. We define the standard of excellence for people across the world who want help building and bettering their community. Approximately 600 American Structurepoint professionals work in 16 design centers in Florida, Illinois, Indiana, Kentucky, Ohio, Tennessee, and Texas. 

Check out this link to see what our interns have to say: https://player.vimeo.com/video/764931278?h=02aeb0b007&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479",Civil Engineering,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/24813/original/hs-emp-logo-data.?1598037568,http://www.structurepoint.com,"Internship / Co-op, Transportation Staff Engineer - Tampa, Transportation Staff Engineer - Orlando",Cooperative Education - On Campus Student Employment - Internship - Job,Full-Time - Part-Time
Amgen,"We are all different, yet we have this in common: our mission to serve patients. This sense of shared purpose is key to Amgen becoming one of the world’s leading biotechnology companies. It guides us as we continue to research, manufacture and deliver new medicines and reach millions of patients. Our team of 22,000+ scientists and professionals worldwide bring distinct perspectives and experiences to all we do. At Amgen, there is a strong correlation between our high level of diversity and performance. We leverage our global talent to achieve together—to transform the promise of science and biotechnology into therapies that have the power to restore health. Amgen: We live the mission. We win together. We thrive on continual challenge. ",Biotech & Life Sciences,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/16388/original/hs-emp-logo-data.?1467738356,http://www.amgen.com/,"GRAD INTERN – DIGITAL TECHNOLOGY & INNOVATION (SUMMER 2024) R-171992, UNDERGRAD INTERN – DIGITAL TECHNOLOGY & INNOVATION (SUMMER 2024) R-171991",Internship,Full-Time
Argos USA - Cement,"Argos, with over 80 years in the market, has become a benchmark in the industry of cement, ready mix concrete and aggregates through our operations in Colombia, the United States, Central America and the Caribbean. Our business model focuses on the client and on sustainable development, which means it is economically viable, respects people, and is environmentally friendly and responsible.

As a leader in its industry, Argos USA changes lives through the construction of building materials that encourage the dreams of millions around the U.S.",Manufacturing,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/82127/original/hs-emp-logo-data.?1467832807,http://www.argos-us.com,Electrical Engineering Co-Op,Cooperative Education - Job,Full-Time
"Arthrex, Inc.","Incorporated since 1984, Arthrex has been a privately held corporation committed to providing the finest quality products and educational services to meet the special needs of orthopedic surgeons and their patients. Arthrex has a focused dedication to creative product development and medical education.

New product innovation in arthroscopic surgery is the heart and soul of Arthrex, which has resulted in the development of over 12,000 products for arthroscopic and minimally invasive orthopedic surgical procedures. Our goal is to make technically demanding surgical procedures easier, safer and reproducible.

Today our products are distributed throughout the U.S. and in over 150 countries worldwide.
",Medical Devices,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/59702/original/hs-emp-logo-data.?1571086571,http://www.arthrex.com,None,Internship - Job,Full-Time
Batson-Cook Construction,"Are you one of those rare, detail oriented students?  Are you one of those individuals that loves getting your hands dirty or takes great pride in handling the paperwork side of things? Would you take pride in knowing you were apart of the team that changed the silhouette of a skyline or constructed hospitals to ultimately change lives?

Here at Batson-Cook, the first thing we build is the relationship. We specialize General Contracting and Building Commercial Structures in all the top markets including healthcare, multi-family projects, hospitality, retail, port projects and more!

If your values align with ours and you truly believe in making the southeast United States bigger and better, come see us at the next career fair!",Construction,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/76826/original/hs-emp-logo-data.?1547238905,http://www.batson-cook.com,"Internship / Co-op, Internship (BSCM, BSCI, CIVL), Co-op (BSCM, BSCI, CIVL)",Cooperative Education - Internship,Part-Time
BAUER Foundation Corp,,Civil Engineering,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/436910/original/hs-emp-logo-data.?1558710939,http://www.bauerfoundations.com/en/,Field Engineer / Quality Control Engineer,,Full-Time
